id;name;description;price;stock;image
1;Aço;Assistant;57374;81236;support navigate
2;Chilean reboot Dynamic;Rodovia actuating deposit;44573;6255;Metal
3;models partnerships Infrastructure;transmitting Antilhas Bedfordshire;60561;70316;Luvas Rua
4;Pequeno digital Janeiro;cinza Prático;80588;95487;São auxiliary
5;COM Implementation Lustroso;homogeneous Rua;86573;17814;Bicicleta Sapatos Rua
6;tangible;Queijo Renminbi;33734;99001;Rondônia Forward open-source
7;Incrível;Buckinghamshire;8835;44109;User-friendly Data navigate
8;Avenida Automotivo;Checking system-worthy;9545;6953;Ergonômico relationships back-end
9;solution Zimbábue Jogos;Account transmit Incrível;88593;84724;Mali Executive Down-sized
10;transitional;bypassing Chief interactive;69233;80985;multi-byte Congelado
